"","GEOID","STATE","NO2_LEVELS","TOTAL_ADULTS","WHITE_ALONE","BLACK_ALONE","AIAN_ALONE","ASIAN_ALONE","NHPI_ALONE","OTHER_ALONE","TWO_MORE","HisLat_TOTAL","NotHisLat_TOTAL","INCOME_GROUP","UrbanRural"
"151",6037236205,"California",NA,2506,167,1234,53,13,0,767,272,1067,1439,"<$27,000",NA
"152",6037239201,"California",NA,2759,222,382,96,17,1,1629,412,2261,498,"$27,000 to <$52,000",NA
"153",6037241300,"California",NA,1688,96,719,52,11,3,628,179,870,818,"$27,000 to <$52,000",NA
"154",6037243001,"California",NA,2321,199,399,50,12,2,1277,382,1877,444,"$52,000 to <$85,000",NA
"155",6037264102,"California",NA,2682,2054,45,3,295,2,68,215,196,2486,"$85,000 to <$141,000",NA
"156",6037265303,"California",NA,3768,1433,107,41,1486,8,274,419,590,3178,"$27,000 to <$52,000",NA
"157",6037265304,"California",NA,3707,1584,170,24,1207,7,441,274,832,2875,"<$27,000",NA
"158",6037265307,"California",NA,3095,1240,179,8,1371,2,192,103,346,2749,"<$27,000",NA
"159",6037265410,"California",NA,1236,979,19,1,116,0,17,104,82,1154,"$85,000 to <$141,000",NA
"160",6037265521,"California",NA,1809,853,45,4,688,0,86,133,172,1637,"$27,000 to <$52,000",NA
"161",6037267404,"California",NA,3137,2013,120,14,497,12,165,316,330,2807,"$85,000 to <$141,000",NA
"162",6037267503,"California",NA,1848,912,45,19,387,7,288,190,462,1386,"$85,000 to <$141,000",NA
"163",6037269602,"California",NA,2312,777,235,53,192,2,676,377,1137,1175,"$52,000 to <$85,000",NA
"164",6037269905,"California",NA,2436,1188,180,31,504,2,283,248,537,1899,"$85,000 to <$141,000",NA
"165",6037269909,"California",NA,2015,948,179,20,394,3,257,214,466,1549,"$52,000 to <$85,000",NA
"166",6037270102,"California",NA,2029,996,154,18,475,2,145,239,374,1655,"$52,000 to <$85,000",NA
"167",6037271804,"California",NA,2247,1082,108,10,501,5,279,262,493,1754,"$52,000 to <$85,000",NA
"168",6037273600,"California",NA,1875,1419,32,10,82,0,118,214,267,1608,"$85,000 to <$141,000",NA
"169",6037276101,"California",NA,3358,1040,951,19,850,0,190,308,378,2980,"$85,000 to <$141,000",NA
"170",6037297001,"California",NA,1395,959,36,14,89,4,97,196,328,1067,">=$141,000",NA
"171",6037297120,"California",NA,2598,799,201,43,128,22,1045,360,1668,930,"$52,000 to <$85,000",NA
"172",6037297601,"California",NA,2162,1097,283,39,155,25,228,335,613,1549,"$52,000 to <$85,000",NA
"173",6037302003,"California",NA,2951,2192,61,1,334,2,185,176,343,2608,"$52,000 to <$85,000",NA
"174",6037302504,"California",NA,3205,1886,31,28,397,2,535,326,926,2279,"$27,000 to <$52,000",NA
"175",6037481713,"California",NA,2317,118,12,23,1909,4,142,109,320,1997,"$52,000 to <$85,000",NA
"176",6037531202,"California",NA,3251,524,18,104,8,0,1921,676,3166,85,"$27,000 to <$52,000",NA
"177",6037533002,"California",NA,1711,263,22,48,5,0,1047,326,1662,49,"$27,000 to <$52,000",NA
"178",6037533300,"California",NA,2244,290,16,78,5,0,1395,460,2163,81,"$27,000 to <$52,000",NA
"179",6037533504,"California",NA,2834,333,9,92,7,1,1819,573,2777,57,"$27,000 to <$52,000",NA
"180",6037534803,"California",NA,3500,574,22,127,14,0,1927,836,3412,88,"$52,000 to <$85,000",NA
"181",6037534804,"California",NA,2794,431,22,72,10,0,1611,648,2716,78,"$52,000 to <$85,000",NA
"182",6037540400,"California",NA,1571,98,156,36,4,0,1016,261,1389,182,"$27,000 to <$52,000",NA
"183",6037543804,"California",NA,4283,1007,537,33,1782,71,561,292,860,3423,"$85,000 to <$141,000",NA
"184",6037554105,"California",NA,3297,592,701,77,345,32,967,583,1752,1545,"$27,000 to <$52,000",NA
"185",6037575102,"California",NA,3013,390,270,46,646,19,1299,343,1781,1232,"$27,000 to <$52,000",NA
"186",6037575202,"California",NA,3163,465,263,41,890,11,1106,387,1798,1365,"$27,000 to <$52,000",NA
"187",6037575402,"California",NA,2365,307,279,69,143,25,1170,372,1765,600,"$52,000 to <$85,000",NA
"188",6037575803,"California",NA,2180,530,306,50,295,25,729,245,1081,1099,"<$27,000",NA
"189",6037576403,"California",NA,3498,597,446,67,578,16,1377,417,1998,1500,"$27,000 to <$52,000",NA
"190",6037576503,"California",NA,3448,1440,428,52,192,13,892,431,1468,1980,"$52,000 to <$85,000",NA
"191",6037577504,"California",NA,1234,997,11,10,56,1,42,117,152,1082,"$85,000 to <$141,000",NA
"192",6037603004,"California",NA,1518,145,322,15,506,10,397,123,555,963,"$52,000 to <$85,000",NA
"193",6037650802,"California",NA,2632,682,64,10,1681,4,63,128,172,2460,"$85,000 to <$141,000",NA
"194",6037700101,"California",NA,5506,4072,266,15,316,6,265,566,707,4799,"$52,000 to <$85,000",NA
"195",6037990100,"California",NA,0,0,0,0,0,0,0,0,0,0,NA,NA
"196",6037990200,"California",NA,0,0,0,0,0,0,0,0,0,0,NA,NA
"197",6037990300,"California",NA,0,0,0,0,0,0,0,0,0,0,NA,NA
"198",6041112203,"California",NA,1991,111,17,262,37,0,1314,250,1856,135,"$52,000 to <$85,000",NA
"199",6041112204,"California",NA,3461,402,38,574,61,2,1833,551,3078,383,"$27,000 to <$52,000",NA
"200",6041122000,"California",NA,3622,1049,1520,79,77,12,797,88,790,2832,NA,NA
"201",6041990100,"California",NA,0,0,0,0,0,0,0,0,0,0,NA,NA
"202",6045990100,"California",NA,0,0,0,0,0,0,0,0,0,0,NA,NA
"203",6053000800,"California",NA,3871,617,14,159,19,13,2145,904,3689,182,"$52,000 to <$85,000","Urban"
"204",6059052534,"California",NA,1872,829,89,13,578,3,147,213,359,1513,"$52,000 to <$85,000",NA
"205",6059063006,"California",NA,2249,2033,7,3,51,3,30,122,110,2139,"$85,000 to <$141,000","Urban"
"206",6059074300,"California",NA,2983,458,24,135,63,1,1719,583,2787,196,"$52,000 to <$85,000","Urban"
"207",6059099511,"California",NA,2873,2322,16,24,128,4,121,258,382,2491,"$85,000 to <$141,000","Urban"
"208",6059110014,"California",NA,3844,1931,193,41,716,32,450,481,1070,2774,"$52,000 to <$85,000",NA
"209",6059990100,"California",NA,0,0,0,0,0,0,0,0,0,0,NA,NA
"210",6067000501,"California",NA,1690,958,147,31,132,6,209,207,416,1274,"$27,000 to <$52,000",NA
"211",6067000502,"California",NA,1324,802,59,15,109,7,133,199,272,1052,"$52,000 to <$85,000",NA
"212",6067000700,"California",NA,2567,965,712,56,388,20,277,149,476,2091,"<$27,000","Urban"
"213",6067001400,"California",NA,2736,1810,150,36,177,4,224,335,551,2185,"$27,000 to <$52,000","Urban"
"214",6067004701,"California",NA,2659,481,460,26,759,100,567,266,810,1849,"$27,000 to <$52,000","Urban"
"215",6067006902,"California",NA,2767,948,482,80,216,31,650,360,1048,1719,"<$27,000",NA
"216",6067007013,"California",NA,2297,676,288,34,401,53,456,389,878,1419,"$52,000 to <$85,000","Urban"
"217",6067008117,"California",NA,1726,1219,54,31,75,9,163,175,315,1411,"$52,000 to <$85,000","Urban"
"218",6067008911,"California",NA,1714,752,246,24,180,27,251,234,480,1234,"$27,000 to <$52,000","Urban"
"219",6067009110,"California",NA,1370,457,341,16,170,13,208,165,395,975,"$27,000 to <$52,000","Urban"
"220",6067009646,"California",NA,2698,675,334,29,1144,32,176,308,402,2296,"$85,000 to <$141,000",NA
"221",6071002049,"California",NA,2292,804,356,36,333,12,392,359,851,1441,"$52,000 to <$85,000",NA
"222",6073005102,"California",NA,4262,2719,321,48,374,12,276,512,754,3508,"$52,000 to <$85,000",NA
"223",6073005403,"California",NA,3512,2348,254,50,198,10,234,418,566,2946,"$85,000 to <$141,000",NA
"224",6073005700,"California",NA,1348,844,141,8,100,6,110,139,301,1047,"$27,000 to <$52,000","Urban"
"225",6073007303,"California",NA,1563,1296,18,11,42,3,42,151,183,1380,"$85,000 to <$141,000",NA
"226",6073007911,"California",NA,2371,1827,29,13,123,7,106,266,306,2065,"$52,000 to <$85,000",NA
"227",6073008363,"California",NA,4427,1405,78,24,2301,2,263,354,599,3828,"$52,000 to <$85,000","Urban"
"228",6073008377,"California",NA,2389,1092,29,1,993,7,93,174,228,2161,"$52,000 to <$85,000",NA
"229",6073008379,"California",NA,3826,1487,74,13,1892,1,127,232,280,3546,"$52,000 to <$85,000",NA
"230",6073012302,"California",NA,1546,499,56,30,121,5,428,407,1025,521,"$27,000 to <$52,000","Urban"
"231",6073013324,"California",NA,1914,430,200,13,402,10,467,392,951,963,"$85,000 to <$141,000",NA
"232",6073015706,"California",NA,1838,1047,127,19,77,3,347,218,568,1270,"<$27,000",NA
"233",6073018302,"California",NA,1207,912,35,7,43,7,92,111,213,994,"$52,000 to <$85,000",NA
"234",6073020213,"California",NA,2515,665,47,63,85,4,1330,321,1979,536,"$27,000 to <$52,000","Urban"
"235",6075010101,"California",NA,1945,980,71,3,651,5,60,175,176,1769,"$52,000 to <$85,000",NA
